cell_id,model,dataset,algo,policy,use_merge,total_iters,n_attempts,n_accepted,acceptance_rate,first_merge_iter,last_merge_iter,mean_merge_iter,median_merge_iter,relative_first,relative_density,early_merge_count,early_merge_ratio,test_score,nomerge_baseline,lift_over_nomerge,severity_flag,run_dir
qwen3-8b|hover|combine_all|immediate,qwen3-8b,hover,combine_all,immediate,True,100,11,8,0.7272727272727273,4,74,44.18181818181818,55.0,0.04,0.11,3,0.2727272727272727,50.0,47.67,2.3299999999999983,good,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/combine_all_immediate_s0
qwen3-8b|hover|original|budget_proportional,qwen3-8b,hover,original,budget_proportional,True,137,8,5,0.625,45,137,81.875,75.0,0.3284671532846715,0.058394160583941604,0,0.0,47.33,47.67,-0.3400000000000034,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/original_budget_proportional_s0
qwen3-8b|hover|summarize_before|budget_proportional,qwen3-8b,hover,summarize_before,budget_proportional,True,85,7,7,1.0,45,75,60.57142857142857,61.0,0.5294117647058824,0.08235294117647059,0,0.0,48.33,47.67,0.6599999999999966,good,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/summarize_before_budget_proportional_s0
qwen3-8b|hover|original|immediate,qwen3-8b,hover,original,immediate,True,100,10,9,0.9,4,98,57.5,54.0,0.04,0.1,2,0.2,50.67,47.67,3.0,good,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/original_immediate_s0
qwen3-8b|hotpotqa|nomerge|nomerge,qwen3-8b,hotpotqa,nomerge,nomerge,False,269,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,55.0,55.0,0.0,,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/nomerge_s0
qwen3-8b|hotpotqa|summarize_before|immediate,qwen3-8b,hotpotqa,summarize_before,immediate,True,206,5,5,1.0,33,158,113.4,129.0,0.16019417475728157,0.024271844660194174,1,0.2,50.33,55.0,-4.670000000000002,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/summarize_before_immediate_s0
qwen3-8b|hotpotqa|combine_all|score_plateau,qwen3-8b,hotpotqa,combine_all,score_plateau,True,225,4,3,0.75,45,207,150,174.0,0.2,0.017777777777777778,1,0.25,48.33,55.0,-6.670000000000002,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/combine_all_score_plateau_s0
qwen3-8b|hotpotqa|combine_all|budget_proportional,qwen3-8b,hotpotqa,combine_all,budget_proportional,True,202,5,4,0.8,112,187,144.8,121.0,0.5544554455445545,0.024752475247524754,0,0.0,48.67,55.0,-6.329999999999998,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/combine_all_budget_proportional_s0
qwen3-8b|hotpotqa|original|score_plateau,qwen3-8b,hotpotqa,original,score_plateau,True,195,4,3,0.75,45,189,145.5,174.0,0.23076923076923078,0.020512820512820513,1,0.25,56.33,55.0,1.3299999999999983,good,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/original_score_plateau_s0
qwen3-8b|hotpotqa|summarize_before|score_plateau,qwen3-8b,hotpotqa,summarize_before,score_plateau,True,195,4,3,0.75,45,189,145.5,174.0,0.23076923076923078,0.020512820512820513,1,0.25,56.33,55.0,1.3299999999999983,good,results/sec4_configuration_sweep_seed0/qwen3-8b/hotpotqa/summarize_before_score_plateau_s0
