group,task,cell,idx,origin,parents,val,parent_val,val_delta,mc_at_disc,prompt_chars,n_predictors
phase_a_qwen,hover,original_budget_proportional_s0,16,reflect,[1],0.39666666666666667,0.3466666666666667,0.04999999999999999,5377,4950,4
phase_a_qwen,hover,original_budget_proportional_s0,17,reflect,[1],0.41,0.3466666666666667,0.0633333333333333,5757,4044,4
phase_a_qwen,hover,original_budget_proportional_s0,18,merge,"[8, 11]",0.41,0.41,0.0,6062,9139,4
phase_a_qwen,hover,original_budget_proportional_s0,19,reflect,[1],0.36666666666666664,0.3466666666666667,0.019999999999999962,6485,4431,4
phase_a_qwen,hover,original_budget_proportional_s0,20,reflect,[2],0.34,0.31666666666666665,0.023333333333333373,6796,4343,4
phase_a_qwen,hover,original_immediate_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,original_immediate_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,original_immediate_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,original_immediate_s0,3,merge,"[1, 2]",0.37,0.3466666666666667,0.023333333333333317,923,3775,4
phase_a_qwen,hover,original_immediate_s0,4,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,1271,4100,4
phase_a_qwen,hover,original_immediate_s0,5,merge,"[2, 4]",0.37,0.37,0.0,1576,4100,4
phase_a_qwen,hover,original_immediate_s0,6,reflect,[2],0.34,0.31666666666666665,0.023333333333333373,1981,4066,4
phase_a_qwen,hover,original_immediate_s0,7,merge,"[5, 6]",0.38,0.37,0.010000000000000009,2286,6443,4
phase_a_qwen,hover,original_immediate_s0,8,reflect,[7],0.4033333333333333,0.38,0.023333333333333317,2634,7846,4
phase_a_qwen,hover,original_immediate_s0,9,merge,"[3, 5]",0.37,0.37,0.0,2939,4100,4
phase_a_qwen,hover,original_immediate_s0,10,reflect,[9],0.38333333333333336,0.37,0.013333333333333364,3299,6042,4
phase_a_qwen,hover,original_immediate_s0,11,merge,"[6, 10]",0.38333333333333336,0.38333333333333336,0.0,3604,6042,4
phase_a_qwen,hover,original_immediate_s0,12,reflect,[7],0.37666666666666665,0.38,-0.003333333333333355,3910,7716,4
phase_a_qwen,hover,original_immediate_s0,13,merge,"[9, 12]",0.37666666666666665,0.37666666666666665,0.0,4215,7716,4
phase_a_qwen,hover,original_immediate_s0,14,reflect,[1],0.3333333333333333,0.3466666666666667,-0.013333333333333364,4716,4759,4
phase_a_qwen,hover,original_immediate_s0,15,merge,"[2, 14]",0.35333333333333333,0.3333333333333333,0.020000000000000018,5021,6192,4
phase_a_qwen,hover,original_immediate_s0,16,reflect,[11],0.36666666666666664,0.38333333333333336,-0.01666666666666672,5333,6942,4
phase_a_qwen,hover,original_immediate_s0,17,reflect,[16],0.4166666666666667,0.36666666666666664,0.050000000000000044,5650,9198,4
phase_a_qwen,hover,original_immediate_s0,18,merge,"[8, 9]",0.4033333333333333,0.4033333333333333,0.0,5955,7846,4
phase_a_qwen,hover,original_immediate_s0,19,reflect,[2],0.3233333333333333,0.31666666666666665,0.006666666666666654,6261,4268,4
phase_a_qwen,hover,original_immediate_s0,20,merge,"[3, 19]",0.36333333333333334,0.37,-0.006666666666666654,6566,6320,4
phase_a_qwen,hover,original_immediate_s0,21,reflect,[19],0.31666666666666665,0.3233333333333333,-0.006666666666666654,6884,5937,4
phase_a_qwen,hover,original_score_plateau_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,original_score_plateau_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,original_score_plateau_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,original_score_plateau_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,original_score_plateau_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,original_score_plateau_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,original_score_plateau_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,original_score_plateau_s0,7,merge,"[3, 6]",0.41,0.37,0.03999999999999998,2288,6302,4
phase_a_qwen,hover,original_score_plateau_s0,8,reflect,[1],0.36333333333333334,0.3466666666666667,0.016666666666666663,2624,3050,4
phase_a_qwen,hover,original_score_plateau_s0,9,reflect,[4],0.38666666666666666,0.3333333333333333,0.053333333333333344,2960,6929,4
