model,dataset,algo,policy,event,run_dir,iteration,p1_idx,p2_idx,anc_idx,length_delta_vs_anc_total,sentence_entropy,predictor_entropy,coverage_min,coverage_p1,coverage_p2,novelty_fraction,behavioral_delta_rate,noop_predictor_rate,parent_gen_depth_max,subsample_win,subsample_tie,subsample_loss,snr_semantic_novelty_rate,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,selection_proxy_score
gpt-4.1-mini,hotpotqa,original,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,74,3,6,0,1099,0.6006085754131871,0.8112781244591328,0.42850747565371156,1.0,0.42850747565371156,0.0,0.0,0.25,3,0,3,2,0.0,7,70,70,55,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,92,7,10,0,1099,0.630797079575061,0.8112781244591328,0.45210551472107047,1.0,0.45210551472107047,0.0,0.0,0.25,4,0,3,2,0.0,4,70,70,55,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,97,8,10,0,1168,0.8918788854900428,0.946394630357186,0.6786616421596925,0.6786616421596925,0.7672413793103449,0.0,0.0,0.25,5,0,3,2,0.0,7,75,72,55,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,112,9,11,6,315,0.7809756883263415,0.8112781244591328,0.5030088182321691,0.5030088182321691,1.0,0.0,0.0,0.25,5,0,3,2,0.0,13,70,77,70,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,121,12,15,2,451,0.8203636429576731,0.8112781244591328,0.860991676184728,1.0,0.860991676184728,0.0,0.0,0.75,6,0,3,2,0.0,0,74,74,70,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/original_budget_proportional_s0,154,13,18,6,1084,0.9161268282291617,1.0,0.6105710459023761,0.6105710459023761,0.7152798329907606,0.0,0.0,0.0,6,0,4,1,0.0,3,109,75,109,5,5,5,5,False,0.4
gpt-4.1-mini,hotpotqa,original,immediate,accepted,P2_result/phase_a_main/hotpotqa/original_immediate_s0,60,8,9,0,706,0.7681531592006852,0.946394630357186,0.7708333333333334,0.7758620689655172,0.7708333333333334,0.0,0.0,0.5,1,0,3,2,0.0,0,42,24,25,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,immediate,accepted,P2_result/phase_a_main/hotpotqa/original_immediate_s0,83,9,12,0,1056,0.3467314682496637,0.8112781244591328,0.4475660749252012,0.4475660749252012,1.0,0.0,0.0,0.25,3,0,3,2,0.0,1,67,25,67,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,immediate,accepted,P2_result/phase_a_main/hotpotqa/original_immediate_s0,87,8,13,0,1502,0.7070040649747601,0.8112781244591328,0.3811588738059326,0.3811588738059326,0.7708333333333334,0.0,0.0,0.0,4,0,3,2,0.0,0,97,24,80,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,immediate,accepted,P2_result/phase_a_main/hotpotqa/original_immediate_s0,94,9,13,0,1142,0.3120895659343453,0.8112781244591328,0.44845317723448225,0.44845317723448225,1.0,0.0,0.0,0.25,4,0,3,2,0.0,1,80,25,80,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,immediate,accepted,P2_result/phase_a_main/hotpotqa/original_immediate_s0,129,8,18,0,1502,0.7070040649747601,0.8112781244591328,0.3811588738059326,0.3811588738059326,0.7708333333333334,0.0,0.0,0.0,5,0,3,2,0.0,0,97,24,80,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/original_score_plateau_s0,74,3,6,0,1099,0.6006085754131871,0.8112781244591328,0.42850747565371156,1.0,0.42850747565371156,0.0,0.0,0.25,3,0,3,2,0.0,7,70,70,55,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/original_score_plateau_s0,100,7,11,4,695,0.7809756883263415,0.8112781244591328,0.5020741481256735,1.0,0.5020741481256735,0.0,0.0,0.25,4,0,3,2,0.0,11,70,70,80,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/original_score_plateau_s0,132,9,11,0,1557,0.6360156177392153,0.0,0.27131709674759874,1.0,0.27131709674759874,0.0,0.0,0.0,6,0,3,2,0.0,11,93,93,80,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,original,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/original_score_plateau_s0,182,14,15,4,1153,0.5916727785823274,0.0,0.25454494645226317,0.25454494645226317,1.0,0.0,0.0,0.0,7,0,3,2,0.0,16,93,85,93,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,combine_all,budget_proportional,accepted,P2_result/phase_a_main/ifbench/combine_all_budget_proportional_s0,18,4,5,0,1146,0.775512658133148,1.0,0.5950292397660819,0.9967532467532467,0.5950292397660819,0.0051813471502590676,0.0,0.0,3,0,3,2,0.0,0,66,50,18,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,combine_all,budget_proportional,accepted,P2_result/phase_a_main/ifbench/combine_all_budget_proportional_s0,27,1,7,0,1567,0.7580912561604578,1.0,0.5596715049656226,0.5596715049656226,1.0,0.0,0.0,0.0,5,0,4,1,0.0,0,79,27,58,5,5,5,5,False,0.4
gpt-4.1-mini,ifbench,combine_all,budget_proportional,accepted,P2_result/phase_a_main/ifbench/combine_all_budget_proportional_s0,37,5,9,0,910,0.8301899714180443,1.0,0.6158008658008658,0.6158008658008658,0.9945454545454545,0.006802721088435374,0.2,0.0,2,1,3,1,0.0,0,58,18,42,5,5,5,5,False,0.5
gpt-4.1-mini,ifbench,combine_all,immediate,accepted,P2_result/phase_a_main/ifbench/combine_all_immediate_s0,9,1,3,0,1067,0.7856736024429427,1.0,0.5880541871921182,0.5880541871921182,0.9972826086956521,0.0056179775280898875,0.2,0.0,2,1,2,2,0.0,0,75,27,54,5,5,5,5,False,0.4
gpt-4.1-mini,ifbench,combine_all,immediate,accepted,P2_result/phase_a_main/ifbench/combine_all_immediate_s0,27,5,6,3,879,0.8316571357815528,1.0,0.6253605716985586,1.0,0.6253605716985586,0.0,0.0,0.0,4,0,5,0,0.0,1,99,75,60,5,5,5,5,False,0.5
gpt-4.1-mini,ifbench,combine_all,immediate,accepted,P2_result/phase_a_main/ifbench/combine_all_immediate_s0,30,6,9,2,1086,0.8077868633166767,1.0,0.6771211971661196,0.6771211971661196,1.0,0.004195804195804196,0.2,0.0,4,1,3,1,0.0,0,88,60,62,5,5,5,5,False,0.5
gpt-4.1-mini,ifbench,combine_all,score_plateau,accepted,P2_result/phase_a_main/ifbench/combine_all_score_plateau_s0,31,5,7,0,1295,0.7114738029389719,1.0,0.5894242713807931,1.0,0.5894242713807931,0.004651162790697674,0.0,0.0,3,0,5,0,0.0,0,82,60,27,5,5,5,5,False,0.5
gpt-4.1-mini,ifbench,original,budget_proportional,accepted,P2_result/phase_a_main/ifbench/original_budget_proportional_s0,13,1,4,0,839,0.7995768885026082,1.0,0.5950292397660819,0.5950292397660819,0.64978330762257,0.0,0.0,0.0,3,0,4,1,0.0,2,53,27,50,5,5,5,5,False,0.4
gpt-4.1-mini,ifbench,original,budget_proportional,accepted,P2_result/phase_a_main/ifbench/original_budget_proportional_s0,18,5,6,0,839,0.0,0.0,0.17587110016939306,1.0,0.17587110016939306,0.0,0.0,0.0,4,0,3,2,0.0,1,53,53,18,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,original,budget_proportional,accepted,P2_result/phase_a_main/ifbench/original_budget_proportional_s0,28,7,8,0,839,0.36657801255334593,0.0,0.24877543673053815,1.0,0.24877543673053815,0.0,0.0,0.0,5,0,3,2,0.0,7,53,53,39,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,original,immediate,accepted,P2_result/phase_a_main/ifbench/original_immediate_s0,9,1,3,0,782,0.7995768885026082,1.0,0.5880541871921182,0.5880541871921182,0.6375498314345297,0.0,0.2,0.0,2,1,2,2,0.0,4,55,27,54,5,5,5,5,False,0.4
gpt-4.1-mini,ifbench,original,immediate,accepted,P2_result/phase_a_main/ifbench/original_immediate_s0,32,3,6,0,737,0.8033437314357734,1.0,0.5880541871921182,0.6791528000963795,0.5880541871921182,0.0,0.0,0.0,2,0,4,1,0.0,6,48,54,20,5,5,5,5,False,0.4
gpt-4.1-mini,ifbench,original,immediate,accepted,P2_result/phase_a_main/ifbench/original_immediate_s0,37,1,8,0,881,0.3533593350214213,0.0,0.22400693802744248,0.22400693802744248,1.0,0.0,0.0,0.0,4,0,3,2,0.0,2,55,27,55,5,5,5,5,False,0.3
gpt-4.1-mini,ifbench,original,score_plateau,accepted,P2_result/phase_a_main/ifbench/original_score_plateau_s0,55,1,7,0,793,0.3576467062456333,0.0,0.22300908227776528,0.22300908227776528,1.0,0.0,0.0,0.0,3,0,3,2,0.0,4,54,27,54,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,budget_proportional,accepted,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,45,3,5,0,1514,0.7677564999564657,1.0,0.7796040554661244,0.8064516129032258,0.7796040554661244,0.005338078291814947,0.0,0.25,3,0,4,1,0.0,0,95,36,67,5,5,5,5,False,0.4
qwen3-8b,hover,combine_all,budget_proportional,accepted,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,53,3,6,0,1178,0.8565149457097293,1.0,0.7786061977238448,0.8571428571428571,0.7786061977238448,0.0047169811320754715,0.0,0.25,2,0,3,2,0.0,0,65,36,35,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,budget_proportional,accepted,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,56,1,6,0,894,0.6717966308861809,0.946394630357186,0.6525974025974026,0.6525974025974026,0.7803030303030303,0.0,0.2,0.25,2,0,4,1,0.0,0,51,23,35,5,5,5,5,False,0.4
qwen3-8b,hover,combine_all,budget_proportional,accepted,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,69,1,2,0,540,0.7747930465220335,0.946394630357186,0.7803030303030303,0.7954545454545454,0.7803030303030303,0.0,0.0,0.5,1,0,5,0,0.0,0,32,23,16,5,5,5,5,False,0.5
qwen3-8b,hover,combine_all,budget_proportional,accepted,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,78,9,11,0,1493,0.8698142937125406,0.946394630357186,0.8547044101731601,0.8547044101731601,1.0,0.004056795131845842,0.0,0.25,3,0,3,2,0.0,0,80,35,52,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,budget_proportional,accepted,P3_result/phase_a_main/hover/combine_all_budget_proportional_s0,105,7,11,0,1809,0.8659846443873765,0.946394630357186,0.8229166666666666,0.8545697118972981,0.8229166666666666,0.003436426116838488,0.0,0.0,3,0,3,2,0.0,0,97,53,52,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,immediate,accepted,P3_result/phase_a_main/hover/combine_all_immediate_s0,4,1,2,0,540,0.7747930465220335,0.946394630357186,0.7803030303030303,0.7954545454545454,0.7803030303030303,0.0,0.0,0.5,1,0,4,1,0.0,0,32,23,16,5,5,5,5,False,0.4
qwen3-8b,hover,combine_all,immediate,accepted,P3_result/phase_a_main/hover/combine_all_immediate_s0,13,2,4,0,824,0.7956333413577517,0.946394630357186,0.7786061977238448,0.7786061977238448,1.0,0.006060606060606061,0.0,0.5,2,0,3,2,0.0,0,46,16,36,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,immediate,accepted,P3_result/phase_a_main/hover/combine_all_immediate_s0,20,3,6,0,921,0.9624123110571317,0.946394630357186,0.7954545454545454,0.8229166666666666,0.7954545454545454,0.0,0.0,0.5,2,0,3,2,0.0,0,55,32,46,5,5,5,5,False,0.3
qwen3-8b,hover,combine_all,immediate,accepted,P3_result/phase_a_main/hover/combine_all_immediate_s0,42,7,9,0,1313,0.9143607596838174,0.946394630357186,0.8218452380952381,1.0,0.8218452380952381,0.004415011037527594,0.0,0.5,3,0,4,1,0.0,0,72,55,33,5,5,5,5,False,0.4
qwen3-8b,hover,combine_all,immediate,accepted,P3_result/phase_a_main/hover/combine_all_immediate_s0,57,10,11,6,1032,0.9222879131311563,0.946394630357186,0.9983031674208145,0.9983031674208145,1.0,0.0,0.0,0.5,4,0,3,2,0.0,0,93,72,66,5,5,5,5,False,0.3
